Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
52476830,The Push,Ashley Audrain,"Audrain, Ashley",,"=""1984881663""","=""9781984881663""",0,4.04,Pamela Dorman Books,Hardcover,307,2021,2021,2025/07/30,2025/07/29,,,read,,,,1,0
10210,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte",Michael Mason,"=""0142437204""","=""9780142437209""",0,4.16,Penguin,Paperback,532,2003,1847,2025/07/29,2025/07/28,,,read,,,,1,0
29437949,Behind Closed Doors,B.A. Paris,"Paris, B.A.",,"=""1250121000""","=""9781250121004""",0,3.97,St. Martin's Press,Hardcover,293,2016,2016,2025/07/20,2025/03/21,,,read,,,,1,0
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""1400078776""","=""9781400078776""",0,3.85,Vintage Books ,Paperback,288,2010,2005,2024/07/01,2024/06/16,,,read,,,,1,0
44890081,My Dark Vanessa,Kate Elizabeth Russell,"Russell, Kate Elizabeth",,"=""006294150X""","=""9780062941503""",0,4.10,William Morrow,Hardcover,373,2020,2020,2025/04/20,2024/07/15,,,read,,,,1,0
19288043,Gone Girl,Gillian Flynn,"Flynn, Gillian",,"=""0307588378""","=""9780307588371""",0,4.15,Ballantine Books,Paperback,415,2014,2012,2025/03/30,2025/03/21,,,read,,,,1,0
60556912,"The Housemaid (The Housemaid, #1)",Freida McFadden,"McFadden, Freida",,"=""1803144378""","=""9781803144375""",0,4.27,Bookouture,Kindle Edition,329,2022,2022,2025/03/20,2025/03/19,,,read,,,,1,0
207300960,Creation Lake,Rachel Kushner,"Kushner, Rachel",,"=""1982116528""","=""9781982116521""",0,3.35,Scribner,Hardcover,416,2024,2024,2025/02/17,2025/01/24,,,read,,,,1,0
6514,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,"=""0571268862""","=""9780571268863""",0,4.05,Harper Perennial Modern Classics,Paperback,294,2006,1963,2024/08/01,2023/08/06,,,read,,,,1,0
8062894,Dime quién soy,Julia Navarro,"Navarro, Julia",,"=""8401337550""","=""9788401337550""",0,4.41,Plaza & Janes Editores,Hardcover,1104,2010,2010,2024/08/01,2024/09/13,,,read,,,,1,0
53287484,"Midnight Sun (The Twilight Saga, #5)",Stephenie Meyer,"Meyer, Stephenie",,"=""031670704X""","=""9780316707046""",0,3.75,"Little, Brown Books for Young Readers",Hardcover,662,2020,2020,2024/09/01,2023/08/06,,,read,,,,1,0
83674,The Bridges of Madison County,Robert James Waller,"Waller, Robert James",,"=""0446364495""","=""9780446364492""",0,3.72,Grand Central Publishing,Mass Market Paperback,182,1995,1992,2024/09/01,2023/08/06,,,read,,,,1,0
5987468,"Los hombres que no amaban a las mujeres (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",,"=""8423340449""","=""9788423340446""",0,4.18,Destino,Paperback,672,2008,2005,2024/04/01,2024/01/25,,,read,,,,1,0
6389277,"La chica que soñaba con una cerilla y un bidón de gasolina (Millennium, #2)",Stieg Larsson,"Larsson, Stieg",,"=""950732111X""","=""9789507321115""",0,4.26,DESTINO,Paperback,736,2009,2006,2024/08/01,2024/01/25,,,read,,,,1,0
6559827,"La reina en el palacio de las corrientes de aire (Millennium, #3)",Stieg Larsson,"Larsson, Stieg",,"=""8423341615""","=""9788423341610""",0,4.24,Destino,Paperback,856,2009,2007,2024/04/01,2024/01/25,,,read,,,,1,0
32187419,Conversations with Friends,Sally Rooney,"Rooney, Sally",,"=""0451499077""","=""9780451499073""",0,3.73,Hogarth,Kindle Edition,304,2017,2017,2024/06/01,2024/12/19,,,read,,,,1,0
208931300,Intermezzo,Sally Rooney,"Rooney, Sally",,"=""0374602638""","=""9780374602635""",0,3.81,"Farrar, Straus and Giroux",Hardcover,464,2024,2024,2024/11/01,2024/07/16,,,read,,,,1,0
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",0,4.12,Scholastic Press,Hardcover,390,2010,2010,,2023/08/06,,,read,,,,1,0
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",0,4.58,Scholastic Inc,Paperback,652,2006,2005,,2023/08/06,,,read,,,,1,0
